"","PEARNVAL","A_AGE","PRDTRACE","A_SEX","A_HGA","A_MARITL","PEHSPNON","MIG_DIV","A_USLHRS","A_CLSWKR","A_MJIND","A_MJOCC","MOOP","HEAbin","earnbin"
"39050",20000,52,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","Yes","east north central",40,"Private","Manufacturing","Production occupations",100,"Good","0"
"39072",90090,59,"White only","female","Associate degree in college - occupation/vocation program","Divorced","No","east north central",32,"Private","Educational and health services","Professional and related occupations",1800,"Good","1"
"39085",41000,43,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","Yes","east north central",40,"Private","Transportation and utilities","Office and administrative support occupations",1400,"Good","0"
"39092",40000,26,"White only","female","Associate degree in college - academic program","Never married","No","east north central",40,"Private","Financial activities","Management, business, and financial occupations",1350,"Good","0"
"39097",27000,46,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",32,"Private","Wholesale and retail trade","Professional and related occupations",2796,"Good","0"
"39105",3000,19,"White only","female","Some college but no degree","Never married","Yes","east north central",35,"Private","Leisure and hospitality","Sales and related occupations",600,"Good","0"
"39113",11700,21,"White only","female","Some college but no degree","Never married","Yes","east north central",20,"Private","Wholesale and retail trade","Transportation and material moving occupations",750,"Good","0"
"39130",92000,35,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",45,"Private","Leisure and hospitality","Professional and related occupations",3100,"Good","1"
"39141",90000,45,"Black only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",40,"Government","Educational and health services","Professional and related occupations",2100,"Good","1"
"39143",82002,53,"Asian only","male","Associate degree in college - academic program","Married - civilian spouse present","No","east north central",40,"Self-employed","Educational and health services","Professional and related occupations",9450,"Good","1"
"39153",100002,41,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",50,"Self-employed","Construction","Management, business, and financial occupations",1450,"Good","1"
"39161",75000,36,"White only","male","Associate degree in college - academic program","Married - civilian spouse present","No","east north central",72,"Government","Public administration","Service occupations",4670,"Good","1"
"39197",75000,33,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",50,"Private","Wholesale and retail trade","Professional and related occupations",11600,"Good","1"
"39222",30000,20,"White-Black","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",45,"Private","Manufacturing","Office and administrative support occupations",4600,"Good","0"
"39227",28000,66,"White only","male","1st,2nd,3rd,or 4th grade","Married - civilian spouse present","Yes","east north central",40,"Private","Manufacturing","Production occupations",3510,"Good","0"
"39232",21100,29,"White-Black","female","High school graduate - high school diploma or equivalent","Never married","No","east north central",45,"Private","Wholesale and retail trade","Sales and related occupations",6950,"Good","0"
"39236",36000,37,"White only","female","Some college but no degree","Never married","Yes","east north central",40,"Private","Educational and health services","Management, business, and financial occupations",1380,"Good","0"
"39253",52000,30,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","east north central",40,"Private","Manufacturing","Professional and related occupations",1000,"Good","0"
"39269",22000,18,"White only","female","High school graduate - high school diploma or equivalent","Never married","No","east north central",8,"Private","Wholesale and retail trade","Office and administrative support occupations",100,"Good","0"
"39299",45000,40,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Never married","No","east north central",40,"Government","Educational and health services","Professional and related occupations",1400,"Good","0"
"39309",45000,32,"White only","male","Some college but no degree","Married - civilian spouse present","No","east north central",40,"Private","Other services","Sales and related occupations",30,"Good","0"
"39310",30000,30,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",40,"Private","Manufacturing","Office and administrative support occupations",1720,"Good","0"
"39312",2000,22,"Asian only","female","Some college but no degree","Never married","No","east north central",12,"Government","Educational and health services","Office and administrative support occupations",200,"Good","0"
"39315",25000,62,"Black only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",40,"Private","Educational and health services","Production occupations",140,"Bad","0"
"39323",130000,36,"White only","male","Associate degree in college - academic program","Married - civilian spouse present","No","east north central",32,"Private","Educational and health services","Professional and related occupations",4650,"Good","1"
"39326",45855,63,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",40,"Self-employed","Agriculture, forestry,fishing, and hunting","Management, business, and financial occupations",0,"Good","0"
"39333",100000,35,"White only","male","11th grade","Married - civilian spouse present","Yes","east north central",40,"Private","Transportation and utilities","Transportation and material moving occupations",8400,"Good","1"
"39337",11000,40,"White only","female","9th grade","Never married","Yes","east north central",30,"Self-employed","Other services","Service occupations",0,"Good","0"
"39350",19035,48,"White only","female","High school graduate - high school diploma or equivalent","Divorced","No","east north central",40,"Private","Other services","Professional and related occupations",2410,"Bad","0"
"39357",40000,49,"Black only","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",50,"Private","Leisure and hospitality","Service occupations",1400,"Good","0"
"39359",54000,54,"White only","male","Some college but no degree","Divorced","No","east north central",40,"Private","Educational and health services","Construction and extraction occupations",3890,"Bad","0"
"39364",40000,48,"White only","female","High school graduate - high school diploma or equivalent","Divorced","No","east north central",40,"Private","Wholesale and retail trade","Production occupations",2746,"Good","0"
"39377",57000,54,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",40,"Private","Professional and business services","Construction and extraction occupations",6460,"Good","0"
"39382",26000,22,"White only","male","Some college but no degree","Never married","No","east north central",40,"Private","Professional and business services","Professional and related occupations",0,"Good","0"
"39392",14999,63,"White only","male","High school graduate - high school diploma or equivalent","Divorced","No","east north central",20,"Private","Agriculture, forestry,fishing, and hunting","Farming, fishing, and forestry occupations",0,"Good","0"
"39393",6000,65,"White only","female","High school graduate - high school diploma or equivalent","Divorced","No","east north central",20,"Private","Other services","Transportation and material moving occupations",0,"Good","0"
"39400",100000,50,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",25,"Self-employed","Construction","Management, business, and financial occupations",4670,"Good","1"
"39409",138000,42,"White only","male","Associate degree in college - academic program","Never married","No","east north central",50,"Private","Manufacturing","Installation, maintenance, and repair occupations",1400,"Good","1"
"39411",60000,48,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",48,"Private","Manufacturing","Production occupations",6110,"Good","0"
"39446",34000,58,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",40,"Private","Manufacturing","Production occupations",3292,"Good","0"
"39457",50000,69,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","east north central",40,"Government","Public administration","Office and administrative support occupations",930,"Good","0"
"39470",13500,59,"White only","male","Some college but no degree","Divorced","No","east north central",17,"Private","Transportation and utilities","Transportation and material moving occupations",512,"Bad","0"
"39482",25000,29,"White only","female","Some college but no degree","Divorced","No","east north central",40,"Private","Wholesale and retail trade","Office and administrative support occupations",3200,"Good","0"
"39489",2000,17,"White only","male","10th grade","Never married","No","east north central",15,"Private","Leisure and hospitality","Service occupations",100,"Good","0"
"39493",30000,23,"White only","female","Associate degree in college - occupation/vocation program","Never married","No","east north central",36,"Private","Educational and health services","Professional and related occupations",115,"Good","0"
"39523",25000,26,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",40,"Private","Manufacturing","Production occupations",0,"Good","0"
"39540",27000,62,"White only","female","5th or 6th grade","Widowed","Yes","east north central",40,"Private","Wholesale and retail trade","Transportation and material moving occupations",1500,"Good","0"
"39567",65000,29,"White only","female","Associate degree in college - occupation/vocation program","Married - civilian spouse present","No","east north central",40,"Private","Educational and health services","Professional and related occupations",900,"Good","1"
"39627",84200,48,"White only","male","Associate degree in college - academic program","Married - civilian spouse present","No","east north central",40,"Private","Professional and business services","Professional and related occupations",2450,"Good","1"
"39664",28000,57,"White only","male","Associate degree in college - occupation/vocation program","Married - civilian spouse present","Yes","east north central",40,"Private","Other services","Service occupations",3292,"Good","0"
"39667",66600,29,"Black only","female","Some college but no degree","Married - civilian spouse present","No","east north central",45,"Government","Public administration","Service occupations",475,"Good","1"
"39668",62400,30,"Black only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",50,"Private","Transportation and utilities","Transportation and material moving occupations",475,"Good","1"
"39670",47601,55,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",45,"Private","Wholesale and retail trade","Management, business, and financial occupations",1500,"Good","0"
"39677",19560,31,"Black only","female","Some college but no degree","Never married","No","east north central",40,"Private","Educational and health services","Service occupations",50,"Bad","0"
"39679",18000,34,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",32,"Private","Agriculture, forestry,fishing, and hunting","Professional and related occupations",0,"Good","0"
"39689",45000,24,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","east north central",60,"Government","Educational and health services","Professional and related occupations",500,"Good","0"
"39690",7000,22,"White only","female","Associate degree in college - academic program","Never married","No","east north central",16,"Private","Leisure and hospitality","Service occupations",500,"Good","0"
"39692",43000,50,"White only","female","Some college but no degree","Married - civilian spouse present","No","east north central",36,"Private","Educational and health services","Service occupations",1580,"Good","0"
"39709",74000,60,"Black only","male","Associate degree in college - occupation/vocation program","Never married","No","east north central",40,"Private","Transportation and utilities","Installation, maintenance, and repair occupations",1010,"Good","1"
"39712",37000,53,"Black only","male","10th grade","Divorced","No","east north central",40,"Self-employed","Transportation and utilities","Office and administrative support occupations",580,"Good","0"
"39728",20000,22,"Black only","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",40,"Private","Manufacturing","Office and administrative support occupations",580,"Good","0"
"39731",48000,38,"Black only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Never married","No","east north central",40,"Government","Public administration","Professional and related occupations",4000,"Good","0"
"39740",23500,55,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","Yes","east north central",25,"Private","Educational and health services","Professional and related occupations",15750,"Good","0"
"39751",36000,37,"Black only","male","Bachelor's degree (for example: BA,AB,BS)","Divorced","No","east north central",40,"Private","Manufacturing","Production occupations",4000,"Good","0"
"39762",34000,48,"White only","female","Associate degree in college - academic program","Never married","No","east north central",40,"Government","Public administration","Service occupations",1060,"Good","0"
"39764",18000,48,"Asian only","female","High school graduate - high school diploma or equivalent","Widowed","No","east north central",80,"Private","Other services","Service occupations",200,"Good","0"
"39774",7000,30,"Black only","male","10th grade","Never married","No","east north central",40,"Private","Leisure and hospitality","Management, business, and financial occupations",0,"Good","0"
"39775",32000,27,"Black only","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",40,"Private","Other services","Production occupations",3,"Good","0"
"39799",80000,50,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","east north central",40,"Government","Educational and health services","Professional and related occupations",500,"Good","1"
"39804",54000,48,"White only","female","Associate degree in college - occupation/vocation program","Married - civilian spouse present","No","east north central",40,"Private","Other services","Office and administrative support occupations",3500,"Good","0"
"39816",29000,31,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","east north central",20,"Private","Educational and health services","Office and administrative support occupations",3292,"Good","0"
"39818",24000,21,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",40,"Private","Financial activities","Office and administrative support occupations",1800,"Good","0"
"39848",31000,31,"White only","male","Some college but no degree","Never married","No","east north central",40,"Government","Educational and health services","Service occupations",520,"Good","0"
"39869",24000,67,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",45,"Self-employed","Manufacturing","Management, business, and financial occupations",1741,"Good","0"
"39877",23000,62,"White only","male","Some college but no degree","Married - civilian spouse present","No","east north central",20,"Self-employed","Financial activities","Management, business, and financial occupations",1200,"Bad","0"
"39881",32000,34,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",50,"Self-employed","Wholesale and retail trade","Sales and related occupations",6320,"Good","0"
"39936",30000,24,"White only","male","Associate degree in college - academic program","Never married","No","east north central",40,"Private","Construction","Construction and extraction occupations",320,"Good","0"
"39967",8000,18,"White-Black","female","High school graduate - high school diploma or equivalent","Never married","No","east north central",25,"Private","Leisure and hospitality","Service occupations",0,"Good","0"
"39971",80000,47,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",40,"Private","Wholesale and retail trade","Installation, maintenance, and repair occupations",1400,"Good","1"
"39988",40000,51,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",40,"Private","Professional and business services","Professional and related occupations",11450,"Good","0"
"40082",41072,51,"White only","male","Some college but no degree","Never married","No","east north central",35,"Private","Financial activities","Management, business, and financial occupations",599,"Good","0"
"40083",44000,60,"White only","male","Some college but no degree","Married - civilian spouse present","No","east north central",40,"Private","Manufacturing","Production occupations",7050,"Good","0"
"40084",38000,58,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",40,"Private","Manufacturing","Production occupations",3370,"Good","0"
"40085",45000,56,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","east north central",40,"Government","Educational and health services","Professional and related occupations",4700,"Good","0"
"40094",25000,41,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",40,"Private","Transportation and utilities","Production occupations",700,"Good","0"
"40099",30000,38,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",45,"Private","Manufacturing","Production occupations",1633,"Good","0"
"40102",48000,61,"White only","male","High school graduate - high school diploma or equivalent","Married - spouse absent (exc.separated)","Yes","east north central",40,"Private","Manufacturing","Production occupations",599,"Good","0"
"40107",47720,30,"White only","female","Some college but no degree","Married - civilian spouse present","No","east north central",20,"Private","Wholesale and retail trade","Sales and related occupations",450,"Good","0"
"40112",20000,38,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",40,"Private","Other services","Construction and extraction occupations",200,"Good","0"
"40151",122000,59,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",40,"Private","Manufacturing","Professional and related occupations",3400,"Good","1"
"40171",75000,28,"White only","male","Associate degree in college - occupation/vocation program","Married - civilian spouse present","No","east north central",50,"Private","Transportation and utilities","Installation, maintenance, and repair occupations",775,"Good","1"
"40175",30000,61,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",40,"Private","Wholesale and retail trade","Sales and related occupations",1800,"Good","0"
"40193",50000,60,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",40,"Government","Educational and health services","Installation, maintenance, and repair occupations",0,"Good","0"
"40200",63000,47,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",50,"Private","Construction","Construction and extraction occupations",830,"Good","1"
"40212",18025,29,"White only","female","Some college but no degree","Never married","No","east north central",40,"Private","Transportation and utilities","Transportation and material moving occupations",5550,"Good","0"
"40214",24000,36,"White only","male","10th grade","Married - civilian spouse present","No","east north central",40,"Private","Agriculture, forestry,fishing, and hunting","Farming, fishing, and forestry occupations",20,"Good","0"
"40234",110000,53,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Divorced","No","east north central",40,"Private","Financial activities","Management, business, and financial occupations",2080,"Good","1"
"40241",3000,71,"White only","female","Some college but no degree","Divorced","No","east north central",18,"Private","Professional and business services","Sales and related occupations",1830,"Bad","0"
"40246",28000,37,"White only","male","5th or 6th grade","Married - spouse absent (exc.separated)","Yes","east north central",40,"Private","Agriculture, forestry,fishing, and hunting","Farming, fishing, and forestry occupations",1420,"Good","0"
"40249",22000,58,"White only","male","1st,2nd,3rd,or 4th grade","Separated","Yes","east north central",40,"Private","Manufacturing","Production occupations",8397,"Good","0"
"40260",38000,33,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",40,"Private","Information","Professional and related occupations",3200,"Good","0"
"40264",12790,48,"White only","female","Associate degree in college - academic program","Divorced","No","east north central",10,"Private","Educational and health services","Service occupations",1755,"Good","0"
"40274",19000,53,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","Yes","east north central",40,"Private","Manufacturing","Production occupations",0,"Good","0"
"40276",24000,20,"White only","male","High school graduate - high school diploma or equivalent","Never married","Yes","east north central",40,"Private","Manufacturing","Installation, maintenance, and repair occupations",0,"Good","0"
"40282",5000,69,"White only","female","Some college but no degree","Married - civilian spouse present","No","east north central",10,"Private","Other services","Office and administrative support occupations",350,"Good","0"
"40290",125000,42,"White only","male","Associate degree in college - academic program","Married - civilian spouse present","No","east north central",40,"Private","Manufacturing","Professional and related occupations",550,"Good","1"
"40291",135000,43,"White only","female","Doctorate degree (for example: PHD,EDD)","Married - civilian spouse present","No","east north central",40,"Private","Manufacturing","Management, business, and financial occupations",5000,"Good","1"
"40304",33000,43,"White only","female","Some college but no degree","Married - civilian spouse present","No","east north central",30,"Private","Manufacturing","Office and administrative support occupations",9100,"Good","0"
"40305",65000,43,"White only","male","Some college but no degree","Married - civilian spouse present","No","east north central",40,"Private","Information","Installation, maintenance, and repair occupations",600,"Good","1"
"40321",31000,30,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","east north central",40,"Private","Manufacturing","Sales and related occupations",1685,"Good","0"
"40340",73200,48,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",40,"Private","Educational and health services","Management, business, and financial occupations",2200,"Good","1"
"40355",35000,46,"White only","female","Associate degree in college - academic program","Married - civilian spouse present","No","east north central",38,"Government","Public administration","Office and administrative support occupations",5350,"Good","0"
"40386",40000,32,"White only","male","Associate degree in college - academic program","Married - civilian spouse present","No","east north central",40,"Private","Wholesale and retail trade","Office and administrative support occupations",475,"Good","0"
"40409",25000,62,"White only","male","Some college but no degree","Never married","No","east north central",40,"Self-employed","Construction","Construction and extraction occupations",2000,"Good","0"
"40428",21000,46,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Never married","No","east north central",25,"Self-employed","Leisure and hospitality","Professional and related occupations",1620,"Good","0"
"40430",32000,31,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",35,"Private","Leisure and hospitality","Service occupations",20,"Good","0"
"40437",30000,26,"White only","female","Some college but no degree","Married - civilian spouse present","No","east north central",35,"Private","Other services","Service occupations",20,"Good","0"
"40441",33280,58,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",40,"Government","Transportation and utilities","Office and administrative support occupations",14100,"Good","0"
"40443",40000,58,"White only","male","9th grade","Divorced","No","east north central",40,"Private","Manufacturing","Production occupations",1348,"Good","0"
"40465",78000,51,"White only","male","Some college but no degree","Divorced","No","east north central",50,"Private","Financial activities","Management, business, and financial occupations",2400,"Good","1"
"40466",30000,46,"White only","female","High school graduate - high school diploma or equivalent","Divorced","No","east north central",40,"Government","Educational and health services","Office and administrative support occupations",1560,"Good","0"
"40469",26000,46,"Black only","female","High school graduate - high school diploma or equivalent","Never married","No","east north central",32,"Private","Educational and health services","Service occupations",320,"Good","0"
"40478",61000,52,"White only","male","High school graduate - high school diploma or equivalent","Married - spouse absent (exc.separated)","No","east north central",40,"Private","Manufacturing","Production occupations",4600,"Good","1"
"40488",85000,51,"White only","male","Associate degree in college - academic program","Married - civilian spouse present","No","east north central",40,"Private","Transportation and utilities","Management, business, and financial occupations",6150,"Good","1"
"40501",65000,27,"White only","female","Associate degree in college - academic program","Never married","No","east north central",36,"Private","Educational and health services","Professional and related occupations",1712,"Good","1"
"40502",65000,25,"White only","female","High school graduate - high school diploma or equivalent","Never married","No","east north central",50,"Private","Leisure and hospitality","Management, business, and financial occupations",555,"Good","1"
"40505",130000,41,"Asian only","male","Doctorate degree (for example: PHD,EDD)","Married - civilian spouse present","No","east north central",40,"Government","Educational and health services","Professional and related occupations",4500,"Good","1"
"40516",70000,44,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",40,"Private","Information","Professional and related occupations",1000,"Good","1"
"40526",8000,23,"Black only","female","Associate degree in college - academic program","Never married","No","east north central",10,"Private","Educational and health services","Sales and related occupations",410,"Good","0"
"40543",25000,33,"White only","female","Some college but no degree","Divorced","No","east north central",25,"Private","Wholesale and retail trade","Sales and related occupations",320,"Good","0"
"40547",20800,38,"White only","female","Some college but no degree","Divorced","No","east north central",30,"Private","Information","Sales and related occupations",1210,"Good","0"
"40551",5000,39,"Black only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",20,"Private","Educational and health services","Production occupations",0,"Good","0"
"40562",100000,53,"White only","male","Doctorate degree (for example: PHD,EDD)","Married - civilian spouse present","No","east north central",50,"Government","Educational and health services","Professional and related occupations",400,"Good","1"
"40570",36000,38,"White only","male","11th grade","Never married","No","east north central",40,"Self-employed","Construction","Construction and extraction occupations",0,"Good","0"
"40586",122500,59,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","east north central",40,"Government","Educational and health services","Professional and related occupations",5550,"Good","1"
"40593",30000,27,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Never married","No","east north central",40,"Government","Educational and health services","Professional and related occupations",100,"Good","0"
"40635",28000,64,"White only","male","12th grade no diploma","Married - civilian spouse present","No","east north central",40,"Private","Transportation and utilities","Transportation and material moving occupations",350,"Good","0"
"40660",5000,20,"White only","male","Some college but no degree","Never married","No","east north central",30,"Private","Wholesale and retail trade","Sales and related occupations",150,"Good","0"
"40676",36000,64,"Black only","female","Some college but no degree","Married - spouse absent (exc.separated)","No","east north central",40,"Private","Educational and health services","Service occupations",11450,"Bad","0"
"40677",7500,18,"Hawaiian/Pacific Islander only (HP)","male","Some college but no degree","Never married","No","east north central",40,"Private","Leisure and hospitality","Professional and related occupations",1450,"Good","0"
"40678",17600,18,"Hawaiian/Pacific Islander only (HP)","male","1st,2nd,3rd,or 4th grade","Never married","No","east north central",40,"Private","Leisure and hospitality","Service occupations",1450,"Good","0"
"40711",32000,52,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",45,"Private","Wholesale and retail trade","Sales and related occupations",0,"Good","0"
"40718",12000,50,"White only","male","Some college but no degree","Married - civilian spouse present","No","east north central",40,"Private","Construction","Construction and extraction occupations",500,"Good","0"
"40730",65000,36,"White only","female","Some college but no degree","Married - civilian spouse present","No","east north central",40,"Government","Public administration","Management, business, and financial occupations",6800,"Good","1"
"40748",90000,25,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Never married","No","east north central",40,"Private","Professional and business services","Professional and related occupations",1740,"Good","1"
"40765",54000,44,"White only","female","Some college but no degree","Never married","No","east north central",60,"Private","Transportation and utilities","Transportation and material moving occupations",5041,"Good","0"
"40767",63000,48,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",50,"Self-employed","Wholesale and retail trade","Sales and related occupations",350,"Good","1"
"40791",75000,46,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",40,"Private","Manufacturing","Management, business, and financial occupations",8500,"Good","1"
"40800",120000,40,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",70,"Private","Wholesale and retail trade","Sales and related occupations",0,"Good","1"
"40823",55000,37,"White only","female","High school graduate - high school diploma or equivalent","Divorced","No","east north central",40,"Private","Educational and health services","Professional and related occupations",9100,"Good","0"
"40827",36000,29,"White-AI","male","Some college but no degree","Married - civilian spouse present","No","east north central",40,"Private","Construction","Construction and extraction occupations",100,"Good","0"
"40845",70000,51,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",40,"Private","Manufacturing","Production occupations",2200,"Good","1"
"40857",60000,47,"White only","female","Associate degree in college - academic program","Divorced","No","east north central",40,"Government","Transportation and utilities","Office and administrative support occupations",9100,"Good","0"
"40864",160000,61,"White only","male","Professional school degree (for example: MD,DDS,DVM,LLB,JD)","Married - civilian spouse present","No","east north central",45,"Private","Professional and business services","Professional and related occupations",150,"Good","1"
"40888",41000,29,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",40,"Private","Construction","Construction and extraction occupations",0,"Good","0"
"40943",40000,47,"White only","male","Some college but no degree","Divorced","No","east north central",55,"Private","Manufacturing","Production occupations",5450,"Good","0"
"40948",6366,76,"White only","female","Some college but no degree","Married - civilian spouse present","No","east north central",21,"Self-employed","Wholesale and retail trade","Professional and related occupations",140,"Good","0"
"40952",103000,53,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Never married","No","east north central",40,"Government","Public administration","Professional and related occupations",3750,"Good","1"
"40958",65000,56,"White only","female","Some college but no degree","Married - civilian spouse present","No","east north central",38,"Government","Public administration","Office and administrative support occupations",540,"Good","1"
"40975",80000,29,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","east north central",40,"Private","Educational and health services","Professional and related occupations",650,"Good","1"
"41002",70000,53,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",40,"Government","Transportation and utilities","Installation, maintenance, and repair occupations",2825,"Good","1"
"41003",20000,27,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Never married","No","east north central",40,"Private","Professional and business services","Professional and related occupations",4200,"Good","0"
"41009",45000,79,"White only","female","Associate degree in college - academic program","Married - civilian spouse present","No","east north central",40,"Private","Educational and health services","Management, business, and financial occupations",1575,"Good","0"
"41047",18000,40,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east north central",35,"Private","Educational and health services","Service occupations",2400,"Good","0"
"41050",53000,37,"Asian only","male","Some college but no degree","Married - civilian spouse present","No","east north central",48,"Private","Leisure and hospitality","Management, business, and financial occupations",1160,"Good","0"
"41059",76000,54,"Asian only","male","Some college but no degree","Married - civilian spouse present","No","east north central",40,"Private","Manufacturing","Production occupations",3338,"Good","1"
"41062",14000,19,"Asian only","male","Associate degree in college - occupation/vocation program","Never married","No","east north central",20,"Private","Wholesale and retail trade","Sales and related occupations",30,"Good","0"
"41075",55000,55,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",50,"Private","Construction","Construction and extraction occupations",600,"Good","0"
"41086",26000,26,"Black only","male","Bachelor's degree (for example: BA,AB,BS)","Never married","No","east north central",40,"Private","Professional and business services","Professional and related occupations",6575,"Good","0"
"41114",4080,16,"White only","male","9th grade","Never married","No","east north central",20,"Private","Leisure and hospitality","Sales and related occupations",60,"Good","0"
"41118",20000,20,"White only","female","Associate degree in college - academic program","Never married","No","east north central",20,"Private","Leisure and hospitality","Sales and related occupations",30,"Good","0"
"41120",17000,24,"White only","female","High school graduate - high school diploma or equivalent","Never married","No","east north central",40,"Private","Leisure and hospitality","Service occupations",1000,"Good","0"
"41126",47000,47,"White only","female","Some college but no degree","Married - civilian spouse present","No","east north central",40,"Private","Professional and business services","Management, business, and financial occupations",6665,"Good","0"
"41151",57500,43,"Black only","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",40,"Private","Transportation and utilities","Transportation and material moving occupations",4587,"Good","0"
"41157",6000,71,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","east north central",2,"Private","Educational and health services","Professional and related occupations",6080,"Bad","0"
"41185",82002,52,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","east north central",40,"Private","Educational and health services","Professional and related occupations",2040,"Good","1"
"41192",100000,54,"Asian only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","east north central",40,"Self-employed","Professional and business services","Professional and related occupations",350,"Good","1"
